Sample_ID	Timepoint	SampleType	Genotype	Treatment	Replicate	TreatmentByTimepoint5
P1	Positive	Positive	Positive	Positive	Positive	PositivePositive
5Prime_Positive6	5Prime	5Prime	5Prime	5Prime	6	5Prime5Prime
Fast_TP8_R1	TP8	Root	RT430	Control	Fast	ControlTP08
Fast_TP8_R12	TP8	Root	RT430	Control	Fast	ControlTP08
Fast_TP8_R13	TP8	Root	RT430	Pre_flowering	Fast	Pre_floweringTP08
Fast_TP8_R5	TP8	Root	RT430	Pre_flowering	Fast	Pre_floweringTP08
Fast_TP9_R1	TP9	Root	RT430	Control	Fast	ControlTP09
Fast_TP9_R12	TP9	Root	RT430	Control	Fast	ControlTP09
Fast_TP9_R13	TP9	Root	RT430	Pre_flowering	Fast	Pre_floweringTP09
Fast_TP9_R5	TP9	Root	RT430	Pre_flowering	Fast	Pre_floweringTP09
Mo_TP8_R1	TP8	Root	RT430	Control	Mo	ControlTP08
Mo_TP8_R12	TP8	Root	RT430	Control	Mo	ControlTP08
Mo_TP8_R13	TP8	Root	RT430	Pre_flowering	Mo	Pre_floweringTP08
Mo_TP8_R5	TP8	Root	RT430	Pre_flowering	Mo	Pre_floweringTP08
Mo_TP9_R1	TP9	Root	RT430	Control	Mo	ControlTP09
Mo_TP9_R12	TP9	Root	RT430	Control	Mo	ControlTP09
Mo_TP9_R13	TP9	Root	RT430	Pre_flowering	Mo	Pre_floweringTP09
Mo_TP9_R5	TP9	Root	RT430	Pre_flowering	Mo	Pre_floweringTP09
Platinum_positive1	Platinum	Platinum	Platinum	Platinum	1	PlatinumPlatinum
Platinum_positive2	Platinum	Platinum	Platinum	Platinum	2	PlatinumPlatinum
Platinum_positive3	Platinum	Platinum	Platinum	Platinum	3	PlatinumPlatinum
Platinum_positive4	Platinum	Platinum	Platinum	Platinum	4	PlatinumPlatinum
Platinum_positive5	Platinum	Platinum	Platinum	Platinum	5	PlatinumPlatinum
Platinum_positive6	Platinum	Platinum	Platinum	Platinum	6	PlatinumPlatinum
Positive10	Positive	Positive	Positive	Positive	Positive	PositivePositive
Positive11	Positive	Positive	Positive	Positive	Positive	PositivePositive
Positive12	Positive	Positive	Positive	Positive	Positive	PositivePositive
S_BT642_No_Rep1	Seeds	Seeds	BT642	Non_Sterilized	1	Non_SterilizedSeeds
S_BT642_No_Rep2	Seeds	Seeds	BT642	Non_Sterilized	2	Non_SterilizedSeeds
S_BT642_Ste_Rep1	Seeds	Seeds	BT642	Sterilized	1	SterilizedSeeds
S_BT642_Ste_Rep2	Seeds	Seeds	BT642	Sterilized	2	SterilizedSeeds
S_RT430_No_Rep1	Seeds	Seeds	RT430	Non_Sterilized	1	Non_SterilizedSeeds
S_RT430_No_Rep2	Seeds	Seeds	RT430	Non_Sterilized	2	Non_SterilizedSeeds
S_RT430_Ste_Rep1	Seeds	Seeds	RT430	Sterilized	1	SterilizedSeeds
S_RT430_Ste_Rep2	Seeds	Seeds	RT430	Sterilized	2	SterilizedSeeds
Takara_TP8_R1	TP8	Root	RT430	Control	Takara	ControlTP08
Takara_TP8_R12	TP8	Root	RT430	Control	Takara	ControlTP08
Takara_TP8_R13	TP8	Root	RT430	Pre_flowering	Takara	Pre_floweringTP08
Takara_TP8_R5	TP8	Root	RT430	Pre_flowering	Takara	Pre_floweringTP08
Takara_TP9_R1	TP9	Root	RT430	Control	Takara	ControlTP09
Takara_TP9_R12	TP9	Root	RT430	Control	Takara	ControlTP09
Takara_TP9_R13	TP9	Root	RT430	Pre_flowering	Takara	Pre_floweringTP09
Takara_TP9_R5	TP9	Root	RT430	Pre_flowering	Takara	Pre_floweringTP09
new_TP14_R17	TP14	Root	BT642	Pre_flowering	new	Pre_floweringTP14
new_TP14_R18	TP14	Root	RT430	Pre_flowering	new	Pre_floweringTP14
new_TP14_R19	TP14	Root	BT642	Control	new	ControlTP14
new_TP14_R20	TP14	Root	RT430	Control	new	ControlTP14
TP0_S1	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S11	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S12	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S13	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S14	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S15	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S16	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S17	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S18	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S19	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S2	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S20	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S21	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S22	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S3	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S4	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S5	Negative	Negative	Negative	Negative	Negative	NegativeNegative
TP0_S6	Negative	Negative	Negative	Negative	Negative	NegativeNegative
Positive1	Positive	Positive	Positive	Positive	Positive	PositivePositive
Positive2	Positive	Positive	Positive	Positive	Positive	PositivePositive
Positive5	Positive	Positive	Positive	Positive	Positive	PositivePositive
Positive6	Positive	Positive	Positive	Positive	Positive	PositivePositive
Positive7	Positive	Positive	Positive	Positive	Positive	PositivePositive
Positive8	Positive	Positive	Positive	Positive	Positive	PositivePositive
Positive9	Positive	Positive	Positive	Positive	Positive	PositivePositive
TP11_02P	Prop	Prop	Prop	Prop	Prop	PropProp
TP11_04P	Prop	Prop	Prop	Prop	Prop	PropProp
TP11_06P	Prop	Prop	Prop	Prop	Prop	PropProp
TP11_11P	Prop	Prop	Prop	Prop	Prop	PropProp
TP11_14P	Prop	Prop	Prop	Prop	Prop	PropProp
TP11_15P	Prop	Prop	Prop	Prop	Prop	PropProp
TP11_17P	Prop	Prop	Prop	Prop	Prop	PropProp
TP11_19P	Prop	Prop	Prop	Prop	Prop	PropProp
TP11_21P	Prop	Prop	Prop	Prop	Prop	PropProp
TP10_Z1	TP10	Rhizosphere	RT430	Control	1	ControlTP10
TP10_Z11	TP10	Rhizosphere	BT642	Control	3	ControlTP10
TP10_Z12	TP10	Rhizosphere	RT430	Control	3	ControlTP10
TP10_Z13	TP10	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP10
TP10_Z14	TP10	Rhizosphere	BT642	Pre_flowering	2	Pre_floweringTP10
TP10_Z15	TP10	Rhizosphere	BT642	Post_flowering	1	Post_floweringTP10
TP10_Z16	TP10	Rhizosphere	RT430	Post_flowering	1	Post_floweringTP10
TP10_Z17	TP10	Rhizosphere	BT642	Pre_flowering	1	Pre_floweringTP10
TP10_Z18	TP10	Rhizosphere	RT430	Pre_flowering	1	Pre_floweringTP10
TP10_Z19	TP10	Rhizosphere	BT642	Control	2	ControlTP10
TP10_Z2	TP10	Rhizosphere	BT642	Control	1	ControlTP10
TP10_Z20	TP10	Rhizosphere	RT430	Control	2	ControlTP10
TP10_Z21	TP10	Rhizosphere	BT642	Post_flowering	3	Post_floweringTP10
TP10_Z22	TP10	Rhizosphere	RT430	Post_flowering	3	Post_floweringTP10
TP10_Z3	TP10	Rhizosphere	RT430	Post_flowering	2	Post_floweringTP10
TP10_Z4	TP10	Rhizosphere	BT642	Post_flowering	2	Post_floweringTP10
TP10_Z5	TP10	Rhizosphere	RT430	Pre_flowering	3	Pre_floweringTP10
TP10_Z6	TP10	Rhizosphere	BT642	Pre_flowering	3	Pre_floweringTP10
TP11_Z1	TP11	Rhizosphere	RT430	Control	1	ControlTP11
TP11_Z11	TP11	Rhizosphere	BT642	Control	3	ControlTP11
TP11_Z12	TP11	Rhizosphere	RT430	Control	3	ControlTP11
TP11_Z13	TP11	Rhizosphere	RT430	Pre_flowering	2	Pre_floweringTP11
