Var1	Var2	value	Variation
ControlTP12	Pre_floweringTP5	0.807925432	CD
ControlTP13	Pre_floweringTP5	0.819714794	CD
ControlTP14	Pre_floweringTP5	0.828327692	CD
ControlTP15	Pre_floweringTP5	0.843443353	CD
ControlTP16	Pre_floweringTP5	0.831236735	CD
ControlTP17	Pre_floweringTP5	0.809605724	CD
ControlTP2	Pre_floweringTP5	0.445882614	CD
ControlTP3	Pre_floweringTP5	0.241702262	CD
ControlTP4	Pre_floweringTP5	0.493731153	CD
ControlTP5	Pre_floweringTP5	0.618820049	CD
ControlTP6	Pre_floweringTP5	0.701469451	CD
ControlTP7	Pre_floweringTP5	0.723072035	CD
ControlTP8	Pre_floweringTP5	0.762733253	CD
ControlTP9	Pre_floweringTP5	0.749128431	CD
ControlTP1	Pre_floweringTP6	0.575373622	CD
ControlTP10	Pre_floweringTP6	0.70970716	CD
ControlTP11	Pre_floweringTP6	0.783575525	CD
ControlTP12	Pre_floweringTP6	0.78663894	CD
ControlTP13	Pre_floweringTP6	0.803969654	CD
ControlTP14	Pre_floweringTP6	0.806046251	CD
ControlTP15	Pre_floweringTP6	0.825669032	CD
ControlTP16	Pre_floweringTP6	0.809193309	CD
ControlTP17	Pre_floweringTP6	0.780322572	CD
ControlTP2	Pre_floweringTP6	0.464913212	CD
ControlTP3	Pre_floweringTP6	0.313597664	CD
ControlTP4	Pre_floweringTP6	0.512514423	CD
ControlTP5	Pre_floweringTP6	0.644520346	CD
ControlTP6	Pre_floweringTP6	0.698553673	CD
ControlTP7	Pre_floweringTP6	0.720583103	CD
ControlTP8	Pre_floweringTP6	0.753403376	CD
ControlTP9	Pre_floweringTP6	0.739579889	CD
ControlTP1	Pre_floweringTP7	0.610276493	CD
ControlTP10	Pre_floweringTP7	0.730017096	CD
ControlTP11	Pre_floweringTP7	0.796623018	CD
ControlTP12	Pre_floweringTP7	0.79926871	CD
ControlTP13	Pre_floweringTP7	0.809166862	CD
ControlTP14	Pre_floweringTP7	0.820292744	CD
ControlTP15	Pre_floweringTP7	0.834943046	CD
ControlTP16	Pre_floweringTP7	0.8223581	CD
ControlTP17	Pre_floweringTP7	0.801720464	CD
ControlTP2	Pre_floweringTP7	0.534191531	CD
ControlTP3	Pre_floweringTP7	0.376242402	CD
ControlTP4	Pre_floweringTP7	0.591680187	CD
ControlTP5	Pre_floweringTP7	0.638558181	CD
ControlTP6	Pre_floweringTP7	0.695097288	CD
ControlTP7	Pre_floweringTP7	0.714655205	CD
ControlTP8	Pre_floweringTP7	0.754530157	CD
ControlTP9	Pre_floweringTP7	0.740342547	CD
ControlTP1	Pre_floweringTP8	0.658236142	CD
ControlTP10	Pre_floweringTP8	0.74059495	CD
ControlTP11	Pre_floweringTP8	0.80558988	CD
ControlTP12	Pre_floweringTP8	0.80836835	CD
ControlTP13	Pre_floweringTP8	0.826468563	CD
ControlTP14	Pre_floweringTP8	0.830744426	CD
ControlTP15	Pre_floweringTP8	0.847838375	CD
ControlTP16	Pre_floweringTP8	0.832751639	CD
ControlTP17	Pre_floweringTP8	0.812068971	CD
ControlTP2	Pre_floweringTP8	0.601725494	CD
ControlTP3	Pre_floweringTP8	0.470957707	CD
ControlTP4	Pre_floweringTP8	0.643472096	CD
ControlTP5	Pre_floweringTP8	0.681076413	CD
ControlTP6	Pre_floweringTP8	0.739254433	CD
ControlTP7	Pre_floweringTP8	0.734066647	CD
ControlTP8	Pre_floweringTP8	0.772760231	CD
ControlTP9	Pre_floweringTP8	0.759368457	CD
ControlTP1	Pre_floweringTP9	0.632765266	CD
ControlTP10	Pre_floweringTP9	0.531098356	CD
ControlTP11	Pre_floweringTP9	0.619781584	CD
ControlTP12	Pre_floweringTP9	0.626393119	CD
ControlTP13	Pre_floweringTP9	0.655186556	CD
ControlTP14	Pre_floweringTP9	0.668722586	CD
ControlTP15	Pre_floweringTP9	0.70578047	CD
ControlTP16	Pre_floweringTP9	0.680534037	CD
